Id,Title,Short Description,Product_link,Description,Product Name,Product Brand,Outfit Name,Outfit Description,Outfit Image,Movie/Show,Series Description,Series No,Episode,Celebrity Name,Character Name,Celebrity Image,Celebrity Type,Image1,Image2,Media,Buy,Buy Link,Extra_description,Source,Key works,In House,In House Price,Why we Like it,Who will this suit,Region,Year ,Video,Exact Image,Exact Store,Exact Price,Exact BuyLink,Similar Image,Similar Store,Similar Price,Similar BuyLink,Get It Second Hand
55398,10 News First (AU): Melbourne September 2019 Jen’s Black Blazer,,https://www.shopyourtv.com/10-news-first-au-melbourne-september-2019-jens-black-blazer/,[],[],,,,,[],,,[],[],,https://www.shopyourtv.com/wp-content/uploads/2019/09/Studio-10-2-420x344.jpg,Mainstream,,,,,,,Shopurtv,,,,,,,,,,,,,,,,,[]
25506,10 News First: October 2020 Amanda’s Green Pencil Skirt,,https://www.shopyourtv.com/10-news-first-october-2020-amandas-green-pencil-skirt/,Green Skirt,['Witchery Textured Pencil Skirt'],,,,,['10 News First'],,,['Mopnday 5th October 2020'],['Amanda Jason'],,https://www.shopyourtv.com/wp-content/uploads/2020/10/emily-in-paris-37-420x390.jpg?v=1601950727,Mainstream,,,,– $129.95,https://shopstyle.it/l/bm4jX,,Shopurtv,,,,,,,,,,,,,,,,,[]
79349,12 Monkeys: Season 1 Episode 1 James’ Wool Pea Coat,,https://www.shopyourtv.com/12-monkeys-season-1-episode-1-james-coles-wool-pea-coat/,[],[],,,,,[],,,[],[],,https://www.shopyourtv.com/wp-content/uploads/2015/01/Screen-Shot-2015-01-25-at-1.21.16-PM.png,Mainstream,,,,[],,,Shopurtv,,,,,,,,,,,,,,,,,[]
18661,12 Monkeys: Season 1 Episode 1 Cassandra’s Silk V-Neck Blouse,,https://www.shopyourtv.com/12-monkeys-season-1-episode-1-cassandra-raillys-silk-v-neck-blouse/,[],[],,,,,[],,,[],[],,https://www.shopyourtv.com/wp-content/uploads/2015/01/Screen-Shot-2015-01-26-at-7.40.14-PM.png,Mainstream,,,,[],,,Shopurtv,,,,,,,,,,,,,,,,,[]
75006,12 Monkeys: Season 1 Episode 1 Cassandra’s Contrast Panel Shirt,,https://www.shopyourtv.com/12-monkeys-season-1-episode-1-cassandra-raillys-contrast-panel-shirt/,[],[],,,,,[],,,[],[],,https://www.shopyourtv.com/wp-content/uploads/2015/01/Screen-Shot-2015-01-25-at-11.16.24-AM.png,Mainstream,,,,,,,Shopurtv,,,,,,,,,,,,,,,,,[]
51416,13 Reasons Why: Season 4 Episode 1 Jessica’s Grey Jacket,,https://www.shopyourtv.com/13-reasons-why-season-4-episode-1-jessicas-grey-jacket/,Grey Jacket,['IRO Ashville Leather Jacket'],,,,,['13 Reasons Why'],,,"['4x01 - ""Winter Break""']",['Alisha Boe'],,https://www.shopyourtv.com/wp-content/uploads/2020/06/kRibbed-Stripe-Sweater-1-420x354.jpg?v=1591341330,Mainstream,,,,– $497.00,https://api.shopstyle.com/action/apiVisitRetailer?id=815614555&pid=uid2416-8012804-55,,Shopurtv,,,,,,,,,,,,,,,,,[]
88103,13 Reasons Why: Season 2 Episode 1 Skye’s Grey Ringer Tee,,https://www.shopyourtv.com/13-reasons-why-season-2-episode-1-skyes-grey-ringer-tee/,[],[],,,,,[],,,[],[],,https://www.shopyourtv.com/wp-content/uploads/2018/05/13-reasons-why-2x01-1-420x331.png,Mainstream,,,,,,,Shopurtv,,,,,,,,,,,,,,,,,[]
31817,13 Reasons Why: Season 3 Episode 10 Ani’s Embroidered Henley,,https://www.shopyourtv.com/13-reasons-why-season-3-episode-10-anis-embroidered-henley/,[],[],,,,,[],,,[],[],,https://www.shopyourtv.com/wp-content/uploads/2019/08/13rw-13x07-30-420x353.jpg,Mainstream,,,,,,,Shopurtv,,,,,,,,,,,,,,,,,[]
71103,13 Reasons Why: Season 1 Episode 11 Lainie’s Floral Printed Blouse,,https://www.shopyourtv.com/13-reasons-season-1-episode-11-lainies-floral-printed-blouse/,[],[],,,,,[],,,[],[],,https://www.shopyourtv.com/wp-content/uploads/2017/05/asdas-420x328.jpg,Mainstream,,,,,,,Shopurtv,,,,,,,,,,,,,,,,,[]
26247,13 Reasons Why: Season 1 Episode 9 Hannah’s Floral Printed Top,,https://www.shopyourtv.com/13-reasons-season-1-episode-9-hannahs-floral-printed-top/,[],[],,,,,[],,,[''],[],,https://www.shopyourtv.com/wp-content/uploads/2017/04/13-Reasons-Why-1x09-Hanna-Border-Print-Top-420x350.png,Mainstream,,,,,,,Shopurtv,,,,,,,,,,,,,,,,,[]
